                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                  0.752,                0.50397,                0.48703,                 1.0776,                0.99772,                      1,                  0.995,                0.87657,                0.99772,                      1,                  0.995,                 0.8337,                0.57537,                0.19354,                0.32634,                0.88695,               0.003961,               0.003961,               0.003961
                     63,                0.73044,                 0.3939,                 0.4764,                 1.0704,                0.99768,                      1,                  0.995,                  0.873,                0.99768,                      1,                  0.995,                0.82704,                0.55502,                0.18226,                0.30132,                0.88383,               0.003862,               0.003862,               0.003862
                     64,                0.76033,                0.84236,                0.49017,                 1.1159,                0.99757,                      1,                  0.995,                0.87398,                0.99757,                      1,                  0.995,                0.85335,                0.55726,                0.17453,                0.31128,                0.87792,               0.003763,               0.003763,               0.003763
                     65,                0.69895,                 0.5845,                0.42301,                 1.0873,                0.99757,                      1,                  0.995,                0.85788,                0.99757,                      1,                  0.995,                0.84764,                0.55976,                0.17677,                0.31186,                0.87086,               0.003664,               0.003664,               0.003664
                     66,                0.76643,                0.49665,                0.47902,                  1.096,                0.99749,                      1,                  0.995,                0.86623,                0.99749,                      1,                  0.995,                0.85795,                0.58582,                0.17708,                0.32232,                0.87956,               0.003565,               0.003565,               0.003565
                     67,                0.74663,                 0.8049,                0.47196,                 1.0792,                0.99749,                      1,                  0.995,                0.87382,                0.99749,                      1,                  0.995,                0.85849,                 0.5527,                0.17612,                0.33887,                0.88056,               0.003466,               0.003466,               0.003466
                     68,                0.76511,                 0.6435,                0.50755,                 1.1019,                0.99756,                      1,                  0.995,                0.87723,                0.99756,                      1,                  0.995,                0.84857,                0.52384,                0.17426,                0.35111,                0.88143,               0.003367,               0.003367,               0.003367
                     69,                0.78039,                 0.4882,                 0.5204,                  1.108,                0.99756,                      1,                  0.995,                0.88737,                0.99756,                      1,                  0.995,                 0.8522,                0.52824,                 0.1771,                0.31803,                0.87908,               0.003268,               0.003268,               0.003268
                     70,                0.75145,                0.53705,                0.45927,                 1.1192,                0.99767,                      1,                  0.995,                0.88326,                0.99767,                      1,                  0.995,                0.84966,                0.54957,                0.17765,                 0.3187,                0.89209,               0.003169,               0.003169,               0.003169
                     71,                0.76131,                0.54457,                0.46684,                 1.0965,                0.99754,                      1,                  0.995,                0.89919,                0.99754,                      1,                  0.995,                0.82934,                0.57619,                0.19825,                0.33464,                 0.9149,                0.00307,                0.00307,                0.00307
                     72,                 0.7469,                0.57006,                0.49141,                 1.0981,                0.99759,                      1,                  0.995,                0.88732,                0.99759,                      1,                  0.995,                0.84853,                0.53847,                0.18671,                0.30105,                0.89683,               0.002971,               0.002971,               0.002971
                     73,                0.77467,                0.50372,                0.48414,                 1.1048,                 0.9974,                      1,                  0.995,                0.88272,                 0.9974,                      1,                  0.995,                0.83989,                0.53382,                0.19085,                0.32577,                0.89673,               0.002872,               0.002872,               0.002872
                     74,                 0.7161,                0.39841,                0.44631,                 1.0594,                0.99677,                      1,                  0.995,                0.87202,                0.99677,                      1,                  0.995,                0.82177,                0.53046,                0.19376,                0.33107,                0.89664,               0.002773,               0.002773,               0.002773
                     75,                0.68376,                0.43232,                0.42892,                 1.0701,                0.99202,                      1,                  0.995,                0.88809,                0.99202,                      1,                  0.995,                0.82476,                0.53663,                0.18277,                0.33301,                0.89806,               0.002674,               0.002674,               0.002674
                     76,                0.68218,                0.31999,                0.42172,                 1.0482,                0.99373,                      1,                  0.995,                 0.9024,                0.99373,                      1,                  0.995,                0.84209,                0.52632,                0.18386,                0.32348,                    0.9,               0.002575,               0.002575,               0.002575
                     77,                0.66882,                0.48658,                0.41509,                  1.047,                 0.9964,                      1,                  0.995,                0.88585,                 0.9964,                      1,                  0.995,                0.83027,                0.52699,                0.17183,                0.29937,                0.89211,               0.002476,               0.002476,               0.002476
                     78,                0.68732,                0.38422,                0.43258,                 1.0598,                0.99641,                      1,                  0.995,                0.88291,                0.99641,                      1,                  0.995,                0.83898,                0.50618,                0.17568,                0.30338,                0.88528,               0.002377,               0.002377,               0.002377
                     79,                0.73944,                0.54676,                0.45388,                 1.1006,                0.99579,                      1,                  0.995,                0.88619,                0.99579,                      1,                  0.995,                0.84451,                0.52139,                0.18683,                0.31758,                0.89108,               0.002278,               0.002278,               0.002278
                     80,                0.69381,                0.41084,                0.44731,                 1.0495,                0.99658,                      1,                  0.995,                0.88571,                0.99658,                      1,                  0.995,                0.86504,                0.51756,                0.19137,                0.29862,                   0.89,               0.002179,               0.002179,               0.002179
                     81,                0.70914,                0.64007,                0.44452,                 1.0909,                0.99574,                      1,                  0.995,                0.88673,                0.99574,                      1,                  0.995,                0.85252,                0.50285,                0.18452,                0.29141,                0.87954,                0.00208,                0.00208,                0.00208
                     82,                0.67748,                 0.7195,                0.40576,                 1.0679,                0.99625,                      1,                  0.995,                0.89737,                0.99625,                      1,                  0.995,                0.84407,                0.50519,                0.18365,                0.29361,                0.88309,               0.001981,               0.001981,               0.001981
                     83,                0.68243,                0.54071,                0.42491,                 1.0611,                0.99638,                      1,                  0.995,                0.89162,                0.99638,                      1,                  0.995,                0.85743,                0.49749,                0.18682,                0.29267,                0.88764,               0.001882,               0.001882,               0.001882
                     84,                0.68092,                0.55752,                0.42584,                 1.0696,                0.99733,                      1,                  0.995,                0.89657,                0.99733,                      1,                  0.995,                0.85095,                0.51283,                0.18486,                0.29801,                0.89682,               0.001783,               0.001783,               0.001783
                     85,                0.68536,                0.42323,                0.43765,                 1.0632,                0.99766,                      1,                  0.995,                0.87782,                0.99766,                      1,                  0.995,                0.82372,                0.51425,                 0.1801,                0.28314,                0.90481,               0.001684,               0.001684,               0.001684
                     86,                0.68109,                 0.4671,                0.41503,                 1.0573,                0.99772,                      1,                  0.995,                0.88604,                0.99772,                      1,                  0.995,                0.81554,                0.50779,                0.17679,                0.28926,                0.89752,               0.001585,               0.001585,               0.001585
                     87,                0.71038,                0.62701,                0.45614,                 1.0893,                0.99772,                      1,                  0.995,                0.88566,                0.99772,                      1,                  0.995,                0.81571,                0.51534,                0.17056,                0.28674,                0.89384,               0.001486,               0.001486,               0.001486
                     88,                0.68527,                0.58535,                0.42321,                 1.0915,                0.99767,                      1,                  0.995,                0.88361,                0.99767,                      1,                  0.995,                0.80117,                 0.5069,                0.16298,                0.28142,                0.88387,               0.001387,               0.001387,               0.001387
                     89,                0.68147,                0.44846,                0.40147,                 1.0463,                0.95785,                      1,                 0.9902,                0.90876,                0.95785,                      1,                 0.9902,                0.85392,                0.47879,                 0.1652,                0.28548,                0.87539,               0.001288,               0.001288,               0.001288
                     90,                0.68971,                0.61531,                0.41916,                 1.0915,                 0.9579,                      1,                 0.9934,                0.90947,                 0.9579,                      1,                 0.9934,                0.87204,                0.47796,                0.16619,                0.28675,                0.87657,               0.001189,               0.001189,               0.001189
                     91,                0.59796,                0.42845,                   0.37,                 1.0208,                0.95783,                      1,                 0.9934,                0.90237,                0.95783,                      1,                 0.9934,                0.86426,                0.47764,                 0.1664,                0.27423,                0.87505,                0.00109,                0.00109,                0.00109
                     92,                0.68434,                0.68989,                 0.4205,                 1.0767,                0.95786,                      1,                 0.9934,                0.91049,                0.95786,                      1,                 0.9934,                0.86794,                0.47567,                0.16978,                0.26785,                0.87315,               0.000991,               0.000991,               0.000991
                     93,                0.63289,                0.50058,                0.41857,                 1.0507,                0.95789,                      1,                 0.9934,                0.91781,                0.95789,                      1,                 0.9934,                0.85815,                 0.4656,                0.17414,                0.25725,                0.86623,               0.000892,               0.000892,               0.000892
                     94,                 0.6732,                0.41682,                0.41063,                 1.0494,                0.95784,                      1,                 0.9934,                0.91701,                0.95784,                      1,                 0.9934,                  0.864,                0.46386,                0.17682,                0.25893,                 0.8653,               0.000793,               0.000793,               0.000793
                     95,                0.65356,                 0.4199,                0.40281,                 1.0674,                 0.9579,                      1,                 0.9934,                   0.91,                 0.9579,                      1,                 0.9934,                0.87081,                0.44597,                0.17846,                0.25566,                0.86024,               0.000694,               0.000694,               0.000694
                     96,                0.62041,                0.50843,                0.41289,                 1.0353,                0.99772,                      1,                  0.995,                0.91523,                0.99772,                      1,                  0.995,                0.86618,                0.45007,                 0.1816,                0.25362,                0.86224,               0.000595,               0.000595,               0.000595
                     97,                0.58519,                0.36044,                0.36921,                 1.0141,                0.99772,                      1,                  0.995,                 0.9147,                0.99772,                      1,                  0.995,                0.85122,                0.45656,                0.18056,                0.25488,                0.86567,               0.000496,               0.000496,               0.000496
                     98,                0.62595,                0.43251,                0.38244,                 1.0128,                 0.9977,                      1,                  0.995,                0.91189,                 0.9977,                      1,                  0.995,                0.86084,                0.45696,                0.17955,                0.25558,                 0.8661,               0.000397,               0.000397,               0.000397
                     99,                0.62586,                0.38168,                0.39004,                 1.0525,                0.99771,                      1,                  0.995,                 0.9115,                0.99771,                      1,                  0.995,                0.86525,                0.46077,                0.17981,                0.25449,                0.86772,               0.000298,               0.000298,               0.000298
